,t1,t4,t5,t6,t1n,t4n,t5n,t6n,x,y
34,-57.67,-77.15,-78.92,-73.32,-100,-77.99,-80.33,-71.46,3.2,0.1
35,-60.18,-76.9,-78.93,-73.35,-100,-82.27,-83.23,-79.15,3.1,0.1
36,-62.06,-76.64,-78.93,-73.37,-64.07,-81.55,-86.57,-64.94,3.0,0.1
37,-63.53,-76.36,-78.94,-73.39,-61.26,-79.74,-79.86,-69.91,2.9,0.1
38,-64.73,-76.08,-78.95,-73.41,-64.62,-73.88,-78.09,-77.86,2.8,0.1
39,-65.74,-75.79,-78.95,-73.43,-67.44,-70.38,-82.34,-82.16,2.7,0.1
40,-66.62,-75.49,-78.97,-73.44,-67.87,-74.15,-70.98,-67.21,2.6,0.1
41,-67.39,-75.18,-78.98,-73.46,-72.57,-82.81,-83.2,-70.41,2.5,0.1
42,-68.07,-74.85,-78.99,-73.48,-71.79,-82.81,-75.02,-77.55,2.4,0.1
43,-68.69,-74.51,-79.01,-73.5,-67.73,-68.59,-78.76,-76.5,2.3,0.1
44,-69.25,-74.16,-79.03,-73.51,-67.38,-69.73,-78.38,-100,2.2,0.1
45,-69.77,-73.78,-79.05,-73.53,-74.13,-100,-80.76,-80.56,2.1,0.1
46,-70.25,-73.39,-79.07,-73.55,-73.09,-77.15,-75.73,-72.26,2.0,0.1
47,-70.69,-72.99,-79.09,-73.56,-74.39,-73.6,-81.57,-69.26,1.9,0.1
48,-71.1,-72.55,-79.11,-73.57,-64.48,-74.95,-91.41,-81.28,1.8,0.1
49,-71.49,-72.1,-79.14,-73.59,-72.71,-70.25,-77.47,-72.72,1.7,0.1
50,-71.86,-71.61,-79.16,-73.6,-76.54,-70.3,-84.26,-72.08,1.6,0.1
51,-72.2,-71.1,-79.19,-73.61,-72.82,-73.35,-80.03,-69.64,1.5,0.1
52,-72.53,-70.55,-79.22,-73.62,-100,-67.57,-81.53,-71.44,1.4,0.1
53,-72.84,-69.96,-79.25,-73.64,-100,-64.17,-76.84,-100,1.3,0.1
54,-73.14,-69.32,-79.28,-73.65,-79.1,-62.79,-75.94,-61.13,1.2,0.1
55,-73.42,-68.63,-79.31,-73.65,-85.57,-69.19,-77.3,-75.95,1.1,0.1
56,-73.69,-67.87,-79.34,-73.66,-68.16,-77.13,-84.51,-70.16,1.0,0.1
57,-73.95,-67.04,-79.38,-73.67,-75.7,-68.22,-77.89,-68.68,0.9,0.1
58,-74.2,-66.11,-79.41,-73.68,-64.57,-65.25,-82.49,-77.23,0.8,0.1
59,-74.44,-65.06,-79.45,-73.68,-75.04,-55.62,-81.09,-77.6,0.7,0.1
60,-74.67,-63.85,-79.49,-73.69,-100,-66.63,-74.06,-75.58,0.6,0.1
61,-74.89,-62.44,-79.53,-73.69,-64.93,-64.67,-90.59,-78.63,0.5,0.1
62,-75.11,-60.74,-79.57,-73.7,-100,-56.68,-76.65,-74.06,0.4,0.1
63,-75.32,-58.62,-79.61,-73.7,-81.81,-47.5,-77.43,-79.17,0.3,0.1
64,-75.52,-55.84,-79.65,-73.7,-74.61,-58.13,-100,-67.55,0.2,0.1
65,-75.71,-52.17,-79.69,-73.7,-76.05,-47.12,-84.45,-100,0.1,0.1
66,-75.9,-49.4,-79.73,-73.7,-70.97,-47.44,-80.22,-71.6,0.0,0.1
67,-75.91,-54.95,-79.65,-73.76,-73.86,-48.71,-85.41,-100,0.0,0.2
68,-75.72,-55.84,-79.6,-73.76,-76.86,-55.91,-84.33,-71.12,0.1,0.2
69,-75.53,-57.72,-79.56,-73.76,-82.8,-62.4,-79.16,-71.23,0.2,0.2
70,-75.33,-59.67,-79.52,-73.75,-66.98,-53.17,-76.57,-77.28,0.3,0.2
71,-75.12,-61.39,-79.48,-73.75,-79.8,-60.6,-83.25,-72.51,0.4,0.2
72,-74.91,-62.88,-79.44,-73.75,-76.7,-60.51,-78.12,-80.55,0.5,0.2
73,-74.68,-64.17,-79.4,-73.74,-100,-66.8,-84.14,-71.43,0.6,0.2
74,-74.45,-65.29,-79.36,-73.74,-100,-70.69,-100,-100,0.7,0.2
75,-74.22,-66.29,-79.32,-73.73,-71.81,-68.85,-81.94,-69.65,0.8,0.2
76,-73.97,-67.18,-79.28,-73.72,-76.9,-74.02,-77.59,-100,0.9,0.2
77,-73.71,-67.99,-79.25,-73.72,-68.07,-70.22,-74.95,-67.11,1.0,0.2
78,-73.44,-68.73,-79.21,-73.71,-75.73,-67.95,-74.22,-100,1.1,0.2
79,-73.16,-69.4,-79.18,-73.7,-73.33,-71.59,-100,-66.83,1.2,0.2
80,-72.86,-70.03,-79.15,-73.69,-71.56,-69.98,-77.13,-77.0,1.3,0.2
81,-72.56,-70.61,-79.12,-73.68,-76.82,-72.2,-78.27,-74.16,1.4,0.2
82,-72.23,-71.15,-79.09,-73.66,-64.26,-72.88,-71.02,-75.22,1.5,0.2
83,-71.89,-71.66,-79.06,-73.65,-76.13,-70.54,-80.69,-76.78,1.6,0.2
84,-71.53,-72.14,-79.04,-73.64,-73.08,-69.37,-87.27,-68.46,1.7,0.2
85,-71.14,-72.59,-79.01,-73.62,-56.76,-70.79,-85.29,-77.0,1.8,0.2
86,-70.73,-73.02,-78.99,-73.61,-72.1,-74.77,-76.35,-100,1.9,0.2
87,-70.3,-73.42,-78.96,-73.6,-76.46,-73.94,-78.93,-74.47,2.0,0.2
88,-69.83,-73.81,-78.94,-73.58,-67.96,-75.61,-80.2,-76.39,2.1,0.2
89,-69.32,-74.18,-78.92,-73.56,-60.77,-78.53,-100,-67.56,2.2,0.2
90,-68.77,-74.53,-78.91,-73.55,-68.72,-71.63,-77.09,-75.26,2.3,0.2
91,-68.17,-74.87,-78.89,-73.53,-79.31,-75.45,-83.02,-78.49,2.4,0.2
92,-67.51,-75.2,-78.87,-73.51,-71.32,-75.81,-82.43,-68.61,2.5,0.2
93,-66.78,-75.51,-78.86,-73.49,-67.02,-67.68,-79.83,-69.59,2.6,0.2
94,-65.95,-75.81,-78.85,-73.47,-70.01,-73.5,-81.18,-74.14,2.7,0.2
95,-65.02,-76.1,-78.84,-73.45,-71.99,-74.94,-77.6,-73.71,2.8,0.2
96,-63.94,-76.38,-78.83,-73.43,-57.26,-78.21,-70.01,-81.71,2.9,0.2
97,-62.69,-76.65,-78.82,-73.41,-100,-83.99,-78.98,-74.27,3.0,0.2
98,-61.26,-76.91,-78.82,-73.39,-60.78,-80.99,-78.13,-80.03,3.1,0.2
99,-59.71,-77.16,-78.82,-73.37,-72.66,-100,-82.83,-69.33,3.2,0.2
100,-58.51,-77.41,-78.81,-73.35,-62.56,-73.19,-71.25,-74.19,3.3,0.2
101,-60.94,-77.43,-78.71,-73.39,-60.12,-72.0,-82.93,-75.59,3.3,0.3
102,-61.55,-77.18,-78.71,-73.41,-67.34,-71.85,-83.05,-100,3.2,0.3
103,-62.49,-76.93,-78.71,-73.43,-58.78,-100,-79.26,-65.19,3.1,0.3
104,-63.53,-76.67,-78.72,-73.46,-65.75,-71.88,-82.92,-86.09,3.0,0.3
105,-64.53,-76.4,-78.72,-73.48,-62.42,-77.65,-100,-78.4,2.9,0.3
106,-65.44,-76.12,-78.73,-73.5,-62.21,-77.4,-83.56,-69.54,2.8,0.3
107,-66.27,-75.84,-78.74,-73.52,-66.99,-100,-93.0,-68.48,2.7,0.3
108,-67.03,-75.54,-78.75,-73.54,-64.2,-71.68,-74.66,-75.51,2.6,0.3
109,-67.71,-75.23,-78.77,-73.56,-72.34,-79.35,-76.63,-69.23,2.5,0.3
110,-68.34,-74.91,-78.78,-73.58,-70.5,-76.75,-73.28,-76.28,2.4,0.3
111,-68.91,-74.57,-78.8,-73.59,-65.45,-70.63,-74.48,-100,2.3,0.3
112,-69.44,-74.22,-78.82,-73.61,-72.1,-77.89,-86.24,-73.83,2.2,0.3
113,-69.92,-73.86,-78.84,-73.63,-100,-73.06,-79.58,-100,2.1,0.3
114,-70.38,-73.47,-78.86,-73.65,-73.28,-72.38,-81.22,-67.75,2.0,0.3
115,-70.81,-73.07,-78.88,-73.66,-100,-74.41,-100,-71.29,1.9,0.3
116,-71.21,-72.65,-78.91,-73.68,-70.93,-69.17,-80.05,-70.88,1.8,0.3
117,-71.58,-72.21,-78.93,-73.69,-68.09,-77.66,-91.87,-65.47,1.7,0.3
118,-71.94,-71.74,-78.96,-73.7,-72.2,-69.23,-100,-75.02,1.6,0.3
119,-72.28,-71.24,-78.99,-73.72,-63.43,-68.64,-80.37,-72.59,1.5,0.3
120,-72.6,-70.71,-79.02,-73.73,-74.55,-72.53,-76.05,-67.11,1.4,0.3
121,-72.9,-70.14,-79.05,-73.74,-67.6,-65.59,-81.99,-73.62,1.3,0.3
122,-73.19,-69.54,-79.08,-73.75,-80.91,-66.79,-80.6,-70.54,1.2,0.3
123,-73.47,-68.89,-79.12,-73.76,-76.79,-63.21,-70.77,-69.24,1.1,0.3
124,-73.74,-68.18,-79.15,-73.77,-100,-69.77,-81.76,-74.79,1.0,0.3
125,-73.99,-67.41,-79.19,-73.78,-76.75,-54.7,-79.63,-75.97,0.9,0.3
126,-74.24,-66.58,-79.23,-73.78,-75.76,-64.98,-78.77,-82.94,0.8,0.3
127,-74.48,-65.65,-79.27,-73.79,-82.76,-61.57,-82.15,-76.79,0.7,0.3
128,-74.7,-64.64,-79.31,-73.8,-71.82,-60.21,-87.58,-77.45,0.6,0.3
129,-74.92,-63.52,-79.35,-73.8,-82.12,-62.41,-79.33,-74.51,0.5,0.3
130,-75.14,-62.29,-79.39,-73.81,-84.07,-62.48,-82.63,-73.18,0.4,0.3
131,-75.34,-60.97,-79.43,-73.81,-77.56,-65.56,-92.51,-62.98,0.3,0.3
132,-75.54,-59.67,-79.47,-73.81,-74.85,-58.66,-75.28,-78.39,0.2,0.3
133,-75.74,-58.62,-79.52,-73.81,-77.68,-50.08,-74.62,-78.73,0.1,0.3
134,-75.92,-58.2,-79.56,-73.81,-69.73,-54.72,-91.01,-75.4,0.0,0.3
135,-75.94,-60.5,-79.48,-73.87,-80.7,-71.22,-75.11,-81.02,0.0,0.4
136,-75.76,-60.74,-79.43,-73.87,-68.38,-59.93,-81.66,-72.72,0.1,0.4
137,-75.56,-61.39,-79.39,-73.87,-65.15,-61.75,-74.3,-74.63,0.2,0.4
138,-75.37,-62.29,-79.34,-73.86,-65.6,-65.27,-80.36,-69.36,0.3,0.4
139,-75.16,-63.27,-79.3,-73.86,-73.1,-63.6,-79.38,-73.21,0.4,0.4
140,-74.95,-64.27,-79.26,-73.86,-74.24,-67.7,-70.59,-76.76,0.5,0.4
141,-74.73,-65.22,-79.21,-73.85,-73.31,-61.61,-79.87,-68.29,0.6,0.4
142,-74.51,-66.11,-79.17,-73.85,-84.17,-65.09,-71.95,-73.7,0.7,0.4
143,-74.27,-66.94,-79.13,-73.84,-76.7,-66.88,-76.89,-78.43,0.8,0.4
144,-74.03,-67.71,-79.09,-73.83,-70.47,-70.53,-76.58,-82.24,0.9,0.4
145,-73.78,-68.43,-79.06,-73.82,-100,-61.26,-82.15,-69.69,1.0,0.4
146,-73.51,-69.1,-79.02,-73.81,-80.27,-80.35,-89.39,-75.96,1.1,0.4
147,-73.24,-69.72,-78.99,-73.8,-100,-64.89,-71.96,-73.06,1.2,0.4
148,-72.95,-70.3,-78.95,-73.79,-69.21,-100,-82.79,-78.82,1.3,0.4
149,-72.65,-70.84,-78.92,-73.78,-82.41,-68.48,-75.51,-79.18,1.4,0.4
150,-72.34,-71.36,-78.89,-73.77,-71.65,-73.53,-74.21,-68.41,1.5,0.4
151,-72.01,-71.84,-78.86,-73.76,-72.61,-78.2,-73.03,-75.45,1.6,0.4
152,-71.66,-72.3,-78.83,-73.74,-76.17,-76.02,-87.95,-68.26,1.7,0.4
153,-71.29,-72.73,-78.8,-73.73,-73.83,-76.49,-69.27,-73.6,1.8,0.4
154,-70.9,-73.15,-78.78,-73.71,-78.74,-61.56,-86.55,-76.23,1.9,0.4
155,-70.49,-73.54,-78.75,-73.7,-62.88,-68.68,-71.65,-71.72,2.0,0.4
156,-70.05,-73.92,-78.73,-73.68,-66.62,-68.01,-76.67,-72.4,2.1,0.4
157,-69.59,-74.28,-78.71,-73.66,-71.15,-68.55,-72.52,-79.47,2.2,0.4
158,-69.09,-74.62,-78.69,-73.64,-72.83,-74.79,-64.62,-71.08,2.3,0.4
159,-68.55,-74.95,-78.68,-73.62,-64.82,-100,-76.38,-100,2.4,0.4
160,-67.97,-75.27,-78.66,-73.61,-64.53,-73.17,-73.61,-77.13,2.5,0.4
161,-67.34,-75.58,-78.65,-73.59,-64.96,-74.32,-68.88,-75.62,2.6,0.4
162,-66.67,-75.87,-78.63,-73.57,-60.73,-83.43,-83.69,-75.99,2.7,0.4
163,-65.95,-76.16,-78.62,-73.54,-64.04,-72.56,-81.5,-74.9,2.8,0.4
164,-65.19,-76.44,-78.61,-73.52,-59.06,-100,-82.08,-75.21,2.9,0.4
165,-64.42,-76.7,-78.61,-73.5,-66.58,-74.13,-77.89,-79.45,3.0,0.4
166,-63.67,-76.96,-78.6,-73.48,-56.91,-83.92,-74.31,-75.14,3.1,0.4
167,-63.05,-77.21,-78.6,-73.46,-69.7,-70.71,-81.02,-68.87,3.2,0.4
168,-62.69,-77.45,-78.6,-73.43,-68.27,-79.47,-100,-69.19,3.3,0.4
169,-64.07,-77.49,-78.48,-73.48,-59.28,-85.11,-75.04,-74.22,3.3,0.5
170,-64.3,-77.24,-78.49,-73.5,-70.24,-82.19,-80.57,-76.37,3.2,0.5
171,-64.73,-77.0,-78.49,-73.52,-67.4,-79.91,-85.02,-68.98,3.1,0.5
172,-65.28,-76.74,-78.49,-73.55,-100,-100,-84.52,-71.82,3.0,0.5
173,-65.89,-76.48,-78.5,-73.57,-65.95,-74.97,-78.7,-71.79,2.9,0.5
174,-66.51,-76.2,-78.51,-73.59,-61.12,-70.5,-80.75,-71.79,2.8,0.5
175,-67.12,-75.92,-78.52,-73.61,-56.28,-69.24,-73.27,-66.52,2.7,0.5
176,-67.71,-75.63,-78.54,-73.63,-62.04,-67.97,-100,-75.38,2.6,0.5
177,-68.27,-75.33,-78.55,-73.65,-68.4,-70.66,-72.22,-73.09,2.5,0.5
178,-68.8,-75.01,-78.57,-73.67,-67.5,-76.33,-74.66,-71.88,2.4,0.5
179,-69.3,-74.69,-78.58,-73.69,-100,-80.77,-84.07,-100,2.3,0.5
180,-69.77,-74.35,-78.6,-73.71,-64.51,-85.89,-100,-74.29,2.2,0.5
181,-70.21,-74.0,-78.63,-73.73,-100,-100,-86.63,-70.09,2.1,0.5
182,-70.63,-73.63,-78.65,-73.75,-100,-100,-70.34,-100,2.0,0.5
183,-71.03,-73.24,-78.67,-73.76,-77.73,-65.12,-81.23,-69.79,1.9,0.5
184,-71.4,-72.84,-78.7,-73.78,-69.32,-74.14,-72.77,-68.29,1.8,0.5
185,-71.76,-72.42,-78.73,-73.79,-76.3,-71.29,-78.27,-79.65,1.7,0.5
186,-72.09,-71.97,-78.76,-73.81,-66.72,-70.86,-76.26,-78.04,1.6,0.5
187,-72.41,-71.5,-78.79,-73.82,-63.71,-71.03,-81.19,-72.72,1.5,0.5
188,-72.72,-71.01,-78.82,-73.84,-100,-75.35,-81.5,-71.16,1.4,0.5
189,-73.02,-70.49,-78.85,-73.85,-100,-74.75,-76.93,-70.78,1.3,0.5
190,-73.3,-69.94,-78.89,-73.86,-71.62,-100,-84.11,-76.18,1.2,0.5
191,-73.57,-69.35,-78.92,-73.87,-74.14,-65.17,-80.88,-100,1.1,0.5
192,-73.82,-68.73,-78.96,-73.88,-70.76,-69.91,-76.3,-100,1.0,0.5
193,-74.07,-68.07,-79.0,-73.89,-74.08,-63.34,-77.32,-75.96,0.9,0.5
194,-74.31,-67.37,-79.04,-73.9,-73.63,-100,-82.42,-72.57,0.8,0.5
195,-74.55,-66.63,-79.08,-73.9,-78.32,-65.38,-76.38,-71.19,0.7,0.5
196,-74.77,-65.86,-79.12,-73.91,-80.13,-68.66,-75.22,-78.09,0.6,0.5
197,-74.98,-65.06,-79.16,-73.91,-83.63,-63.14,-79.05,-64.51,0.5,0.5
198,-75.19,-64.27,-79.21,-73.92,-71.01,-65.87,-84.61,-70.29,0.4,0.5
199,-75.4,-63.52,-79.25,-73.92,-100,-59.67,-82.16,-67.23,0.3,0.5
200,-75.59,-62.88,-79.3,-73.92,-80.88,-62.45,-77.03,-76.15,0.2,0.5
201,-75.78,-62.44,-79.34,-73.92,-69.68,-61.76,-72.09,-73.98,0.1,0.5
202,-75.97,-62.29,-79.39,-73.93,-73.78,-57.5,-73.89,-100,0.0,0.5
203,-76.0,-63.75,-79.3,-73.98,-72.84,-100,-71.62,-67.67,0.0,0.6
204,-75.81,-63.85,-79.26,-73.98,-82.4,-62.35,-73.27,-71.82,0.1,0.6
205,-75.63,-64.17,-79.21,-73.98,-81.89,-64.69,-83.6,-71.55,0.2,0.6
206,-75.43,-64.64,-79.16,-73.98,-68.8,-57.38,-77.64,-71.78,0.3,0.6
207,-75.23,-65.22,-79.11,-73.98,-79.95,-61.86,-80.87,-71.73,0.4,0.6
208,-75.03,-65.86,-79.07,-73.97,-71.87,-70.2,-83.02,-71.52,0.5,0.6
209,-74.81,-66.52,-79.03,-73.97,-79.49,-70.64,-76.88,-81.79,0.6,0.6
210,-74.59,-67.18,-78.98,-73.96,-100,-100,-81.71,-68.58,0.7,0.6
211,-74.36,-67.84,-78.94,-73.95,-79.4,-77.32,-80.28,-100,0.8,0.6
212,-74.13,-68.46,-78.9,-73.94,-77.04,-69.28,-73.29,-78.02,0.9,0.6
213,-73.88,-69.07,-78.86,-73.94,-76.36,-67.34,-79.59,-71.33,1.0,0.6
214,-73.63,-69.64,-78.82,-73.93,-80.05,-77.33,-87.28,-80.18,1.1,0.6
215,-73.37,-70.19,-78.79,-73.91,-76.24,-65.49,-74.48,-73.75,1.2,0.6
216,-73.09,-70.71,-78.75,-73.9,-78.2,-75.1,-74.73,-73.14,1.3,0.6
217,-72.81,-71.2,-78.72,-73.89,-77.9,-77.75,-100,-71.71,1.4,0.6
218,-72.51,-71.68,-78.68,-73.88,-79.92,-100,-73.13,-100,1.5,0.6
219,-72.2,-72.13,-78.65,-73.86,-67.98,-72.82,-75.71,-85.58,1.6,0.6
220,-71.87,-72.55,-78.62,-73.85,-62.91,-80.87,-100,-77.25,1.7,0.6
221,-71.53,-72.96,-78.59,-73.83,-74.38,-76.2,-83.92,-74.66,1.8,0.6
222,-71.17,-73.35,-78.57,-73.82,-70.29,-77.13,-79.24,-81.72,1.9,0.6
223,-70.79,-73.73,-78.54,-73.8,-68.78,-70.69,-81.54,-64.88,2.0,0.6
224,-70.4,-74.09,-78.52,-73.78,-69.73,-100,-74.17,-70.26,2.1,0.6
225,-69.98,-74.44,-78.49,-73.76,-66.85,-70.49,-65.33,-65.1,2.2,0.6
226,-69.54,-74.77,-78.47,-73.74,-75.09,-81.71,-74.44,-84.05,2.3,0.6
227,-69.09,-75.09,-78.46,-73.72,-67.59,-78.48,-82.63,-71.22,2.4,0.6
228,-68.61,-75.4,-78.44,-73.7,-70.53,-69.42,-100,-64.22,2.5,0.6
229,-68.11,-75.69,-78.42,-73.68,-77.62,-66.84,-71.99,-80.46,2.6,0.6
230,-67.59,-75.98,-78.41,-73.66,-63.38,-86.09,-83.02,-67.07,2.7,0.6
231,-67.07,-76.26,-78.4,-73.64,-61.67,-67.21,-74.78,-72.29,2.8,0.6
232,-66.56,-76.53,-78.39,-73.62,-65.22,-71.79,-75.93,-72.45,2.9,0.6
233,-66.09,-76.79,-78.38,-73.59,-69.53,-86.28,-100,-68.06,3.0,0.6
234,-65.67,-77.04,-78.38,-73.57,-69.06,-79.49,-86.22,-72.25,3.1,0.6
235,-65.36,-77.29,-78.37,-73.55,-57.52,-68.52,-74.39,-81.62,3.2,0.6
236,-65.19,-77.52,-78.37,-73.52,-72.66,-79.52,-81.1,-78.5,3.3,0.6
237,-66.15,-77.57,-78.25,-73.57,-66.31,-71.39,-77.3,-72.86,3.3,0.7
238,-66.27,-77.34,-78.26,-73.59,-65.47,-83.93,-68.71,-76.41,3.2,0.7
239,-66.51,-77.09,-78.26,-73.62,-66.37,-83.9,-83.52,-73.38,3.1,0.7
240,-66.83,-76.84,-78.27,-73.64,-65.3,-74.85,-83.16,-74.86,3.0,0.7
241,-67.21,-76.59,-78.27,-73.66,-65.1,-72.25,-80.25,-100,2.9,0.7
242,-67.63,-76.32,-78.28,-73.69,-53.85,-74.32,-68.05,-73.44,2.8,0.7
243,-68.07,-76.05,-78.3,-73.71,-63.69,-100,-74.22,-72.49,2.7,0.7
244,-68.52,-75.77,-78.31,-73.73,-69.93,-80.67,-86.0,-78.63,2.6,0.7
245,-68.96,-75.47,-78.32,-73.75,-63.79,-78.36,-81.56,-67.11,2.5,0.7
246,-69.39,-75.17,-78.34,-73.77,-75.66,-100,-77.28,-73.84,2.4,0.7
247,-69.81,-74.86,-78.36,-73.79,-66.96,-67.68,-85.18,-71.16,2.3,0.7
248,-70.21,-74.53,-78.38,-73.81,-68.04,-79.19,-77.28,-87.08,2.2,0.7
249,-70.6,-74.2,-78.41,-73.83,-71.1,-63.8,-80.32,-74.24,2.1,0.7
250,-70.97,-73.85,-78.43,-73.85,-72.75,-79.77,-81.73,-76.92,2.0,0.7
251,-71.33,-73.48,-78.46,-73.87,-81.2,-74.87,-84.75,-78.69,1.9,0.7
252,-71.67,-73.11,-78.48,-73.89,-65.72,-75.07,-73.16,-84.04,1.8,0.7
253,-72.0,-72.71,-78.51,-73.9,-69.86,-59.64,-78.48,-79.17,1.7,0.7
254,-72.31,-72.3,-78.54,-73.92,-74.92,-79.44,-87.9,-70.4,1.6,0.7
255,-72.61,-71.87,-78.58,-73.93,-70.54,-70.44,-79.98,-81.28,1.5,0.7
256,-72.9,-71.42,-78.61,-73.95,-78.11,-67.15,-82.58,-74.7,1.4,0.7
257,-73.18,-70.96,-78.65,-73.96,-73.06,-76.77,-85.52,-100,1.3,0.7
258,-73.45,-70.47,-78.68,-73.97,-76.54,-70.93,-76.28,-71.14,1.2,0.7
259,-73.7,-69.96,-78.72,-73.98,-81.09,-71.99,-86.01,-79.54,1.1,0.7
260,-73.95,-69.43,-78.76,-73.99,-79.94,-63.01,-89.24,-72.51,1.0,0.7
261,-74.19,-68.89,-78.8,-74.0,-79.98,-72.84,-83.66,-70.81,0.9,0.7
262,-74.42,-68.32,-78.84,-74.01,-82.82,-68.75,-100,-77.22,0.8,0.7
263,-74.65,-67.75,-78.89,-74.02,-73.67,-66.98,-84.15,-69.35,0.7,0.7
264,-74.86,-67.18,-78.93,-74.02,-65.28,-60.84,-71.91,-77.81,0.6,0.7
265,-75.07,-66.63,-78.98,-74.03,-75.79,-73.82,-85.9,-71.22,0.5,0.7
266,-75.28,-66.11,-79.02,-74.03,-81.79,-70.04,-86.83,-100,0.4,0.7
267,-75.47,-65.65,-79.07,-74.04,-68.09,-67.61,-82.69,-76.12,0.3,0.7
268,-75.66,-65.29,-79.12,-74.04,-76.25,-68.65,-76.42,-78.11,0.2,0.7
269,-75.85,-65.06,-79.17,-74.04,-82.3,-69.4,-82.53,-78.77,0.1,0.7
270,-76.03,-64.98,-79.22,-74.04,-78.12,-61.28,-81.24,-73.54,0.0,0.7
271,-76.07,-66.05,-79.13,-74.1,-72.93,-67.74,-84.29,-68.58,0.0,0.8
272,-75.89,-66.11,-79.08,-74.1,-76.57,-71.53,-78.09,-82.55,0.1,0.8
273,-75.71,-66.29,-79.03,-74.1,-69.01,-55.59,-84.8,-77.12,0.2,0.8
274,-75.52,-66.58,-78.98,-74.1,-75.52,-63.53,-79.5,-69.56,0.3,0.8
275,-75.33,-66.94,-78.93,-74.09,-78.16,-59.86,-84.51,-75.14,0.4,0.8
276,-75.13,-67.37,-78.88,-74.09,-69.64,-67.5,-89.01,-75.84,0.5,0.8
277,-74.92,-67.84,-78.83,-74.08,-71.33,-72.76,-84.67,-73.8,0.6,0.8
278,-74.71,-68.32,-78.79,-74.08,-68.13,-64.14,-81.08,-100,0.7,0.8
279,-74.49,-68.82,-78.74,-74.07,-67.76,-69.37,-74.12,-76.21,0.8,0.8
280,-74.26,-69.32,-78.7,-74.06,-83.72,-66.46,-75.43,-82.64,0.9,0.8
281,-74.03,-69.82,-78.66,-74.05,-74.97,-68.5,-74.47,-68.98,1.0,0.8
282,-73.79,-70.3,-78.62,-74.04,-70.92,-72.17,-75.84,-76.5,1.1,0.8
